universe,model,IC_mean,IC_sd,RankIC_mean,RankIC_sd,ICIR_mean,ICIR_sd,RankICIR_mean,RankICIR_sd
csi300,MASTER,0.057318937490396314,0.00533194653611226,0.06547108189483221,0.004753183267602562,0.34250402011304565,0.03456272865458676,0.3738557390975417,0.03296730219476118
csi300,TOP1,0.05532998777804355,0.002557999018155593,0.06523981816085057,0.0015200750107909151,0.3571348825478345,0.03324530142886725,0.40883239642565544,0.02622486138947758
csi300,DynaFuse,0.06089359686217513,0.004544338548734349,0.07046294238628888,0.003663039806809345,0.36612950325161114,0.03755441557375977,0.40861335823487094,0.03507838342175975
csi300,HOM,0.06073783142610658,0.002709986699328542,0.06917027666832916,0.0021575011217682695,0.35696670480892606,0.017370769315423792,0.389669872736369,0.015457750087536495
csi300,MX,0.05546980482145519,0.004359957507940358,0.06618232116082695,0.003949647962470671,0.3159916951099704,0.026225843681152876,0.36643618409015494,0.025879442716957596
csi800,MASTER,0.04736344246037808,0.002035566433647536,0.05911346559959942,0.00105578701143822,0.3066067617474784,0.014038499956291665,0.35554093845553364,0.003513982603307011
csi800,TOP1,0.04747186814849802,0.001625569931425086,0.059487304567788536,0.0017240096543823208,0.34660122192117154,0.010498236255371744,0.40295068476312706,0.01050988165262046
csi800,DynaFuse,0.05109714114600625,0.0006788740243475161,0.06394214985466944,0.0009806719853848503,0.3418987276939673,0.007170168894128862,0.3970237804202938,0.0009308532319368699
csi800,HOM,0.05000868436088341,0.0010998631847302979,0.06235558526183727,0.0006115815741589743,0.31753979320818193,0.007428386696859527,0.36799523458229794,0.0010305003300858935
csi800,MX,0.046612818758083784,0.0020888315341579494,0.06163224807579671,0.0008409639049188594,0.3009219323308258,0.014067054852982975,0.3740504356620873,0.009673205318496579
