universe,seed,model,IC,RankIC,ICIR,RankICIR
csi300,0,MASTER,0.06196908827645446,0.07035725633577876,0.37601596789848324,0.4098508940280093
csi300,0,TOP1,0.05828349991393418,0.06672221489390634,0.395186484295345,0.43910939391835424
csi300,0,DynaFuse,0.06528827177075505,0.07447249365453777,0.40536610551410057,0.44799372097240564
csi300,0,HOM,0.059277729914008405,0.06838292941347097,0.35006172735722735,0.38632150268533183
csi300,0,MX,0.05834717463782776,0.06888028766160362,0.33743393878742955,0.3887241267164735
csi300,1,MASTER,0.05149933392976698,0.0608631099950059,0.3069785435958519,0.345129479040795
csi300,1,TOP1,0.053822678081098675,0.06531256265644521,0.3337151346519947,0.39416392110174825
csi300,1,DynaFuse,0.05621308861604733,0.06729176862256518,0.33052055137506975,0.3807144463626012
csi300,1,HOM,0.05907098719252552,0.06751703204735852,0.34411015949215606,0.3761607329853533
csi300,1,MX,0.050453440962340446,0.06164893033634201,0.2867511910907896,0.33805326659531915
csi300,2,MASTER,0.058488390264967494,0.06519287935371199,0.3445175488448017,0.3665868442238209
csi300,2,TOP1,0.05388378533909779,0.06368467693220017,0.3425030286961638,0.3932238742568638
csi300,2,DynaFuse,0.06117943019972301,0.0696245648817637,0.36250185286566317,0.39713190736960596
csi300,2,HOM,0.0638647771717858,0.07161086854415798,0.3767282275773948,0.406527382538422
csi300,2,MX,0.05760879886419737,0.06801774548453525,0.323789955451692,0.3725311589586721
csi800,0,MASTER,0.04968914562785408,0.05831404574307824,0.3209693818279818,0.3531473708615641
csi800,0,TOP1,0.0460773266291941,0.05825441378364379,0.34076221818672614,0.39934957678831645
csi800,0,DynaFuse,0.05187570405845605,0.06306563329578833,0.34980901747682236,0.3962228123716333
csi800,0,HOM,0.05049549264735709,0.0625755027388394,0.31858957549256633,0.3669412013941899
csi800,0,MX,0.048675363322916235,0.06203270667700989,0.313815802705978,0.37897820068495913
csi800,1,MASTER,0.04590587187761453,0.06031028413606305,0.2929165470881574,0.35390025870805325
csi800,1,TOP1,0.04925721889838806,0.06145733576215852,0.3587208591686727,0.4147877535025469
csi800,1,DynaFuse,0.050786915268028886,0.06500129989957647,0.33582655454723065,0.39680351862049307
csi800,1,HOM,0.04874942476814084,0.0628267971087348,0.3096423586253158,0.36900046813452286
csi800,1,MX,0.04449865699993481,0.06066589543596062,0.28591969981946186,0.36290561137897065
csi800,2,MASTER,0.04649530987566562,0.05871606691965696,0.30593435632629623,0.3595751857969835
csi800,2,TOP1,0.047081058917911894,0.0587501641575633,0.3403205884081158,0.39471472399851787
csi800,2,DynaFuse,0.0506288041115338,0.06375951636864348,0.34006061105784885,0.39804501026875505
csi800,2,HOM,0.05078113566715231,0.06166445593793763,0.32438744550666365,0.3680440342181811
csi800,2,MX,0.04666443595140029,0.062198142114419624,0.3030302944670376,0.3802674949223321
