sweep,setting,IC,RankIC,ICIR,RankICIR,V
topk,1,0.06479851403529718,0.07403386546802776,0.4548333906797998,0.5008701363085247,0.06941618975166247
topk,2,0.06475844493926143,0.07447045504642921,0.4572184976221399,0.5062955138068079,0.06961444999284533
topk,4,0.06454305998065736,0.07415234329570235,0.4559825554294204,0.5047291144594509,0.06934770163817985
topk,8,0.06464682107121096,0.07421706825928455,0.4569057343100557,0.5056021762275905,0.06943194466524776
alpha,0,0.062300805980657153,0.06875755225520773,0.4108050273583233,0.4371872769305751,0.06552917911793243
alpha,0.25,0.06501856341355428,0.0728561934596546,0.4367664324736616,0.4722860506228878,0.06893737843660444
alpha,0.5,0.06479851403529718,0.07403386546802776,0.4548333906797998,0.5008701363085247,0.06941618975166247
alpha,0.75,0.061297742227167495,0.07166587711055013,0.4569578540543993,0.5151324190241483,0.0664818096688588
alpha,1,0.05563544664694932,0.06654665155000929,0.4411454415849253,0.5092504091073444,0.0610910490984793
