model,Val_IC,Val_RankIC,Test_IC,Test_RankIC
MASTER,0.06230080598065716,0.06875755225520773,0.06196908827645446,0.07035725633577876
TOP1,0.05563544664694932,0.06654665155000929,0.05828349991393418,0.06672221489390634
DynaFuse,0.06479851403529718,0.07403386546802776,0.06528827177075505,0.07447249365453777
